[5400.79882812, 454.08410645, 3762.58203125]
[5506.00439453, 445.6491394, 3821.16088867]
[5493.4140625, 436.45410156, 3887.78979492]
[5589.15039062, 423.56976318, 4059.32373047]
[5679.57470703, 415.73245239, 4181.78564453]
[5668.22509766, 405.29595947, 4245.02197266]
[5601.06884766, 399.55651855, 4203.14550781]
[5498.78759766, 384.91860962, 4079.54248047]
[5392.54785156, 371.6300354, 4011.16088867]
[5296.10791016, 360.56347656, 3942.25732422]
[5244.18945312, 356.71353149, 3966.00073242]
[5138.59521484, 338.70184326, 3991.75366211]
[5028.71582031, 321.45031738, 3848.68334961]
[4963.46923828, 320.01571655, 3852.15356445]
[4871.453125, 293.2171936, 4028.51293945]
[4715.26269531, 268.340271, 4096.53466797]
[4549.5546875, 245.50979614, 4216.68994141]
[4428.10449219, 216.15945435, 4429.27148438]
[4242.91943359, 191.18429565, 4649.76855469]
[3950.04736328, 166.64630127, 4800.50488281]
[3862.85668945, 158.80123901, 4846.17382812]
[3663.27172852, 142.73612976, 4946.65136719]
[3526.90014648, 135.17713928, 5014.85400391]
[3383.23242188, 121.32662201, 5060.86132812]
[3237.2109375, 109.44129944, 5168.50341797]
[3217.29589844, 105.23525238, 5251.68066406]
[3160.69921875, 106.33267212, 5244.93261719]
[3147.171875, 111.30566406, 5111.95751953]
[3110.6965332, 113.97647858, 4932.21044922]
[2887.19995117, 105.3821106, 4864.64697266]
[2829.97338867, 102.35925293, 4868.34375]
[2725.78027344, 101.13261414, 4654.92041016]
[2675.97436523, 103.72817993, 4491.57568359]
[2600.29980469, 102.8288269, 4373.01904297]
[2592.23706055, 103.08716583, 4337.13134766]
[2556.26782227, 108.60224152, 4156.03125]
[2528.78369141, 109.46393585, 4071.92089844]
[5526.86621094  387.96054077 4108.19482422]
[5027.23632812  321.35913086 3847.10375977]
