2584.0, 104.0, 4295.0
2577.0, 106.0, 4247.0
2549.0, 110.0, 4070.0
2418.0, 114.0, 3740.0
2771.0, 144.0, 3858.0
3551.0, 190.0, 3704.0
3583.0, 191.0, 3683.0
3701.0, 216.0, 3532.0
3435.0, 295.0, 3235.0
3078.0, 345.0, 2889.0
3140.0, 366.0, 2785.0
3187.0, 373.0, 2756.0
3305.0, 401.0, 2778.0
3561.0, 418.0, 2602.0
3683.0, 447.0, 2545.0
3763.0, 453.0, 2626.0
3800.0, 455.0, 2626.0
3982.0, 474.0, 2676.0
4114.0, 483.0, 2736.0
4821.0, 504.0, 2955.0
5269.0, 499.0, 3079.0
5365.0, 490.0, 3303.0
5221.0, 476.0, 3457.0
5245.0, 471.0, 3535.0
5345.0, 455.0, 3767.0
5655.0, 417.0, 4165.0
5644.0, 403.0, 4213.0
5325.0, 361.0, 3959.0
4648.0, 260.0, 4113.0
3346.0, 119.0, 5030.0
3106.0, 115.0, 4866.0
2709.0, 103.0, 4523.0
