[5488.37011719, 447.29025269, 3796.75268555]
[5514.58447266, 440.08691406, 3864.82861328]
[5487.62011719, 435.22116089, 3935.30737305]
[5651.28417969, 418.4720459, 4143.86474609]
[5706.80126953, 407.51672363, 4258.45458984]
[5622.87011719, 401.48608398, 4204.98632812]
[5549.27050781, 390.32736206, 4129.63916016]
[5438.66308594, 376.72128296, 4029.63720703]
[5335.00683594, 362.55319214, 3968.4675293] 
[5270.52978516, 359.06164551, 3951.16333008]
[5170.45996094, 346.09326172, 3997.11401367]
[5099.02246094, 336.36077881, 3955.03637695]
[4975.1171875, 325.3637085, 3817.75048828]
[4931.61523438, 308.47406006, 3952.64624023]
[4849.00927734, 287.66525269, 4047.390625, 
[4623.08642578, 257.41720581, 4133.33740234]
[4513.84277344, 238.15612793, 4269.66748047]
[4371.66699219, 204.78616333, 4518.859375]
[4134.49707031, 182.25195312, 4729.67236328]
[3877.02709961, 160.21156311, 4835.45751953]
[3709.18310547, 145.92907715, 4919.96533203]
[3555.13574219, 134.69970703, 4986.73046875]
[3412.74707031, 123.04035187, 5078.41943359]
[3255.42358398, 114.43367767, 5065.45654297]
[3223.97241211, 105.9686203, 5236.01171875]
[3173.38012695, 103.98246765, 5283.83447266]
[3151.16894531, 110.2638855, 5168.59814453]
[3118.30786133, 112.37968445, 5029.14013672]
[3081.67431641, 115.03774261, 4852.87744141]
[2873.21582031, 104.64363098, 4865.66259766]
[2742.28076172, 98.14568329, 4858.80957031]
[2696.5546875, 104.30843353, 4506.49853516]
[2616.80175781, 102.71838379, 4433.17138672]
[2598.63305664, 102.83786011, 4366.53125]
[2571.64208984, 106.47235107, 4227.12109375]
[2535.35742188, 110.03939056, 4070.94702148]
[2528.33520508, 109.42141724, 4071.99365234]
[4974.77246094  325.77496338 3814.30932617]
