1341.0, 60.0, 4261.0
1317.0, 67.0, 3559.0
2146.0, 120.0, 3410.0
3490.0, 267.0, 3394.0
2976.0, 347.0, 2819.0
3112.0, 382.0, 2582.0
3489.0, 414.0, 2638.0
3609.0, 431.0, 2433.0
3707.0, 439.0, 2452.0
3931.0, 463.0, 2502.0
4056.0, 480.0, 2673.0
4334.0, 494.0, 2741.0
5219.0, 504.0, 2947.0
5362.0, 490.0, 3310.0
5288.0, 469.0, 3572.0
5457.0, 448.0, 3763.0
5517.0, 442.0, 3849.0
5722.0, 412.0, 4205.0
5725.0, 408.0, 4249.0
5585.0, 399.0, 4203.0
4996.0, 327.0, 3804.0
4980.0, 327.0, 3806.0
3192.0, 103.0, 5291.0
3122.0, 112.0, 5045.0
2744.0, 97.0, 4876.0
